epoch,t_rel,en0_opkts,en0_oerrs,en7_opkts,en7_oerrs
1788069072.193,110.462,60,0,7930,0
1788069072.448,110.717,60,0,7944,0
1788069072.690,110.959,60,0,7960,0
1788069072.990,111.259,60,0,7994,0
1788069073.239,111.508,60,0,8009,0
1788069073.487,111.756,60,0,8019,0
1788069073.729,111.998,60,0,8029,0
1788069073.972,112.241,60,0,8037,0
1788069074.213,112.482,67,0,8047,0
1788069074.460,112.729,69,0,8059,0
1788069074.720,112.989,69,0,8069,0
1788069074.960,113.229,69,0,8081,0
1788069075.204,113.473,69,0,8085,0
1788069075.454,113.723,69,0,8085,0
1788069075.698,113.967,69,0,8085,0
1788069075.944,114.213,69,0,8088,0
1788069076.190,114.459,69,0,8090,0
1788069076.438,114.707,69,0,8090,0
1788069076.679,114.948,69,0,8090,0
1788069076.917,115.186,69,0,8090,0
1788069077.165,115.434,69,0,8096,0
1788069077.409,115.678,69,0,8100,0
1788069077.654,115.923,69,0,8100,0
1788069077.894,116.163,69,0,8113,0
1788069078.133,116.402,69,0,8113,0
1788069078.377,116.646,69,0,8116,0
1788069078.615,116.884,69,0,8122,0
1788069078.859,117.128,69,0,8130,0
1788069079.108,117.377,70,0,8160,0
1788069079.354,117.623,70,0,8170,0
1788069079.597,117.866,71,0,8178,0
1788069079.850,118.119,71,0,8192,0
1788069080.093,118.362,71,0,8202,0
1788069080.332,118.601,71,0,8210,0
1788069080.584,118.853,71,0,8220,0
1788069080.828,119.097,72,0,8235,0
1788069081.066,119.335,72,0,8243,0
1788069081.309,119.578,72,0,8253,0
1788069081.554,119.823,72,0,8261,0
1788069081.799,120.068,73,0,8271,0
1788069082.074,120.343,73,0,8297,0
1788069082.326,120.595,73,0,8390,0
1788069082.581,120.851,73,0,8401,0
1788069082.832,121.101,73,0,8411,0
1788069083.077,121.346,73,0,8424,0
1788069083.325,121.594,73,0,8434,0
1788069083.575,121.844,73,0,8434,0
1788069083.834,122.103,73,0,8434,0
1788069084.082,122.351,73,0,8434,0
1788069084.351,122.620,73,0,8434,0
1788069084.590,122.859,73,0,8439,0
1788069084.837,123.106,73,0,8441,0
1788069085.080,123.349,73,0,8441,0
1788069085.343,123.612,73,0,8441,0
1788069085.658,123.927,73,0,8444,0
1788069085.903,124.172,73,0,8446,0
1788069086.165,124.434,73,0,8446,0
1788069086.415,124.684,73,0,8446,0
1788069086.660,124.929,73,0,8449,0
1788069086.906,125.175,73,0,8451,0
1788069087.156,125.425,73,0,8461,0
1788069087.394,125.663,73,0,8469,0
1788069087.645,125.914,73,0,8479,0
1788069087.890,126.159,73,0,8489,0
1788069088.156,126.425,73,0,8500,0
1788069088.405,126.674,73,0,8512,0
1788069088.645,126.914,73,0,8520,0
1788069088.896,127.165,73,0,8530,0
1788069089.148,127.417,73,0,8538,0
1788069089.396,127.665,73,0,8548,0
1788069089.636,127.905,73,0,8561,0
1788069089.889,128.158,73,0,8570,0
